"v1013","mes_nome","local_atendimento","plano_saude","n_amostra","populacao_estimada","pct_alguma_comorbidade","pct_internado_entre_atendidos","pct_entubado_entre_internados"
"9","Setembro","UBS/SUS","Nao","1810","896987.0","38.0228","9.7231","22.576"
"10","Outubro","UBS/SUS","Sim","269","158217.0","37.1917","4.1613","0.0"
"10","Outubro","UBS/SUS","Nao","1424","748941.0","37.2552","11.9977","47.9428"
"9","Setembro","UBS/SUS","Sim","278","142796.0","44.2025","8.1311","0.0"
"11","Novembro","UBS/SUS","Sim","317","169118.0","34.5079","7.2717","0.0"
"11","Novembro","UBS/SUS","Nao","1492","772921.0","33.8437","10.9355","5.5776"
"10","Outubro","UBS/SUS",,"1","296.0",,,
"10","Outubro","UPA/SUS","Sim","108","79143.0","24.618","7.3314","43.2193"
"10","Outubro","UPA/SUS","Nao","700","441593.0","37.8289","6.8763","33.1926"
"9","Setembro","UPA/SUS","Nao","637","375214.0","41.4411","7.0385","13.6258"
"9","Setembro","UPA/SUS","Sim","110","77349.0","35.5355","6.2552","24.2755"
"11","Novembro","UPA/SUS","Sim","151","91011.0","31.9475","5.8819","19.2064"
"11","Novembro","UPA/SUS","Nao","713","426097.0","34.83","7.474","12.4301"
"9","Setembro","Hospital privado","Sim","270","172455.0","37.349","6.7108","30.7961"
"9","Setembro","Hospital privado","Nao","68","38437.0","42.5096","8.5531","0.0"
"10","Outubro","Hospital privado","Sim","299","211286.0","35.3763","9.9187","21.4284"
"10","Outubro","Hospital privado","Nao","68","38079.0","48.2003","7.2777","33.764"
"11","Novembro","Hospital privado","Sim","410","287743.0","36.2235","8.2114","10.0439"
"11","Novembro","Hospital privado","Nao","65","31009.0","40.5191","2.3694","0.0"
"9","Setembro","Pronto-socorro privado","Nao","24","13654.0","44.9297","10.2187","72.0809"
"10","Outubro","Pronto-socorro privado","Sim","105","82124.0","53.2684","6.7044","21.0467"
"9","Setembro","Pronto-socorro privado","Sim","128","110558.0","36.3063","5.6221","36.1154"
"10","Outubro","Pronto-socorro privado","Nao","19","7083.0","43.846","1.7036","100.0"
"11","Novembro","Pronto-socorro privado","Nao","21","13404.0","27.9267","5.0163","0.0"
"11","Novembro","Pronto-socorro privado","Sim","180","135547.0","35.5874","7.3751","9.7222"
"11","Novembro","Hospital SUS",,"3","5098.0",,,
"11","Novembro","Hospital SUS","Nao","552","299859.0","41.8693","15.7817","18.5894"
"11","Novembro","Hospital SUS","Sim","133","72910.0","38.7799","8.6572","11.4933"
"9","Setembro","Hospital SUS","Nao","631","332572.0","41.0928","15.7558","28.0983"
"9","Setembro","Hospital SUS","Sim","118","71265.0","36.7982","11.2207","31.7383"
"10","Outubro","Hospital SUS","Sim","129","79339.0","39.9042","17.9154","5.3268"
"10","Outubro","Hospital SUS","Nao","558","288696.0","37.8078","18.1046","24.7227"
"9","Setembro","Consultorio privado","Nao","151","78911.0","47.8809","16.0342","0.0"
"11","Novembro","Consultorio privado","Sim","283","175531.0","35.0883","9.9918","8.0149"
"9","Setembro","Consultorio privado","Sim","222","145223.0","47.0899","9.5941","44.9373"
"11","Novembro","Consultorio privado","Nao","101","54550.0","41.7514","3.7757","0.0"
"10","Outubro","Consultorio privado","Nao","91","52286.0","43.0745","13.4693","0.0"
"10","Outubro","Consultorio privado","Sim","237","152873.0","39.1474","7.9418","0.0"
